"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 14 2015","2457248.499965278","461203201","2141.45","2.55e-7","1.40e-8","-1.74","-","31.11","1e-8","0","bin86.log"
"Sep 13 2015","2457278.499965278","463795201","1151.65","1.71e-7","1.20e-8","-1.74","-","33.80","1e-8","0","bin87.log"
"Oct 13 2015","2457308.499965278","466387201","1221.27","1.78e-7","1.20e-8","-1.74","-","55.18","1e-8","0","bin88.log"
"Nov 12 2015","2457338.499965278","468979201","906.37","1.23e-7","1.00e-8","-1.74","-","78.53","1e-8","0","bin89.log"
"Dec 12 2015","2457368.499965278","471571201","1253.98","1.67e-7","1.10e-8","-1.74","-","98.27","1e-8","0","bin90.log"
"Jan 11 2016","2457398.499965278","474163201","2363.7","2.83e-7","1.50e-8","-1.74","-","113.73","1e-8","0","bin91.log"
"Feb 10 2016","2457428.499965278","476755201","1026.57","1.67e-7","1.20e-8","-1.74","-","127.82","1e-8","0","bin92.log"
"Mar 11 2016","2457458.499965278","479347201","948.18","1.37e-7","1.10e-8","-1.74","-","138.64","1e-8","0","bin93.log"
"Apr 10 2016","2457488.499965278","481939201","575.74","1.12e-7","1.10e-8","-1.74","-","135.68","1e-8","0","bin94.log"
"May 10 2016","2457518.499965278","484531201","1223.85","1.87e-7","1.20e-8","-1.74","-","116.09","1e-8","0","bin95.log"
"Jun 09 2016","2457548.499965278","487123201","1239.02","1.98e-7","1.30e-8","-1.74","-","88.09","1e-8","0","bin96.log"
"Jul 09 2016","2457578.499965278","489715201","878.24","1.59e-7","1.30e-8","-1.74","-","58.25","1e-8","0","bin97.log"
"Aug 08 2016","2457608.499965278","492307201","544.64","1.25e-7","1.20e-8","-1.74","-","33.76","1e-8","0","bin98.log"
"Sep 07 2016","2457638.499965278","494899201","358.63","7.51e-8","8.90e-9","-1.74","-","31.25","1e-8","0","bin99.log"
"Oct 07 2016","2457668.499965278","497491201","228.22","6.77e-8","9.40e-9","-1.74","-","51.05","1e-8","0","bin100.log"
"Nov 06 2016","2457698.499965278","500083201","607.92","1.19e-7","1.10e-8","-1.74","-","74.61","1e-8","0","bin101.log"
"Dec 06 2016","2457728.499965278","502675201","693.31","1.23e-7","1.00e-8","-1.74","-","95.18","1e-8","0","bin102.log"
"Jan 05 2017","2457758.4999537035","505267201","1150.22","1.89e-7","1.30e-8","-1.74","-","111.21","1e-8","0","bin103.log"
"Feb 04 2017","2457788.4999537035","507859201","1256.24","1.89e-7","1.20e-8","-1.74","-","125.41","1e-8","0","bin104.log"
"Mar 06 2017","2457818.4999537035","510451201","720.61","1.34e-7","1.20e-8","-1.74","-","137.40","1e-8","0","bin105.log"
"Apr 05 2017","2457848.4999537035","513043201","1308.61","1.61e-7","1.00e-8","-1.74","-","137.57","1e-8","0","bin106.log"
"May 05 2017","2457878.4999537035","515635201","740.3","1.21e-7","1.10e-8","-1.74","-","120.35","1e-8","0","bin107.log"
"Jun 04 2017","2457908.4999537035","518227201","696.07","1.24e-7","1.10e-8","-1.74","-","93.28","1e-8","0","bin108.log"
"Jul 04 2017","2457938.4999537035","520819201","392.32","9.82e-8","1.03e-8","-1.74","-","63.34","1e-8","0","bin109.log"
"Aug 03 2017","2457968.4999537035","523411201","552.56","1.07e-7","1.03e-8","-1.74","-","37.10","1e-8","0","bin110.log"
"Sep 02 2017","2457998.4999537035","526003201","611.46","1.22e-7","1.10e-8","-1.74","-","29.43","1e-8","0","bin111.log"
"Oct 02 2017","2458028.4999537035","528595201","687.7","1.37e-7","1.20e-8","-1.74","-","47.00","1e-8","0","bin112.log"
"Nov 01 2017","2458058.4999537035","531187201","851.38","1.38e-7","1.10e-8","-1.74","-","70.59","1e-8","0","bin113.log"
"Dec 01 2017","2458088.4999537035","533779201","1265.78","1.80e-7","1.20e-8","-1.74","-","91.93","1e-8","0","bin114.log"
"Dec 31 2017","2458118.4999537035","536371201","1632.69","2.18e-7","1.30e-8","-1.74","-","108.64","1e-8","0","bin115.log"
"Jan 30 2018","2458148.4999537035","538963201","1793.2","3.42e-7","2.00e-8","-1.74","-","122.97","1e-8","0","bin116.log"
"Mar 01 2018","2458178.4999537035","541555201","1934.96","2.74e-7","1.50e-8","-1.74","-","135.79","1e-8","0","bin117.log"
"Mar 31 2018","2458208.4999537035","544147201","2.64","1.91e-7","-","-","-","138.88","1e-8","0","bin118.log"
"Apr 30 2018","2458238.4999537035","546739201","1091.41","1.67e-7","1.10e-8","-1.74","-","124.32","1e-8","0","bin119.log"
"May 30 2018","2458268.4999537035","549331201","653.4","1.15e-7","1.00e-8","-1.74","-","98.38","1e-8","0","bin120.log"
"Jun 29 2018","2458298.4999537035","551923201","405.64","1.20e-7","1.30e-8","-1.74","-","68.53","1e-8","0","bin121.log"
"Jul 29 2018","2458328.4999537035","554515201","451.84","8.33e-8","8.60e-9","-1.74","-","40.97","1e-8","0","bin122.log"
"Aug 28 2018","2458358.4999537035","557107201","53.46","8.85e-8","2.21e-8","-1.74","-","28.50","1e-8","0","bin123.log"
"Sep 27 2018","2458388.4999537035","559699201","820.61","1.05e-7","8.60e-9","-1.74","-","43.08","1e-8","0","bin124.log"
"Oct 27 2018","2458418.4999537035","562291201","839.01","1.25e-7","1.00e-8","-1.74","-","66.50","1e-8","0","bin125.log"
"Nov 26 2018","2458448.4999537035","564883201","974.53","1.24e-7","9.00e-9","-1.74","-","88.53","1e-8","0","bin126.log"
"Dec 26 2018","2458478.4999537035","567475201","845.52","1.18e-7","1.00e-8","-1.74","-","105.99","1e-8","0","bin127.log"
"Jan 25 2019","2458508.4999537035","570067201","406.67","1.02e-7","1.06e-8","-1.74","-","120.50","1e-8","0","bin128.log"
"Feb 24 2019","2458538.4999537035","572659201","493.39","1.42e-7","1.50e-8","-1.74","-","133.89","1e-8","0","bin129.log"
