"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Nov 12 2010","2455512.999988426","311256001","20.14","2.81e-8","1.15e-8","-1.54","-","20.47","1e-8","0","bin119.log"
"Nov 19 2010","2455519.999988426","311860801","52.09","5.47e-8","1.56e-8","-1.54","-","17.13","1e-8","0","bin120.log"
"Nov 26 2010","2455526.999988426","312465601","38.77","4.06e-8","1.38e-8","-1.54","-","15.96","1e-8","0","bin121.log"
"Dec 03 2010","2455533.999988426","313070401","32.77","3.60e-8","1.28e-8","-1.54","-","17.62","1e-8","0","bin122.log"
"Dec 10 2010","2455540.999988426","313675201","63.91","5.39e-8","1.57e-8","-1.54","-","21.64","1e-8","0","bin123.log"
"Dec 17 2010","2455547.999988426","314280001","71.15","4.34e-8","1.32e-8","-1.54","-","27.11","1e-8","0","bin124.log"
"Dec 24 2010","2455554.999988426","314884801","40.46","3.15e-8","1.28e-8","-1.54","-","33.40","1e-8","0","bin125.log"
"Dec 31 2010","2455561.999988426","315489601","95.71","3.71e-8","1.04e-8","-1.54","-","40.18","1e-8","0","bin126.log"
"Jan 07 2011","2455568.999988426","316094401","76.21","3.87e-8","1.17e-8","-1.54","-","47.25","1e-8","0","bin127.log"
"Jan 14 2011","2455575.999988426","316699201","14.03","2.22e-8","1.12e-8","-1.54","-","54.47","1e-8","0","bin128.log"
"Jan 21 2011","2455582.999988426","317304001","9.4","1.48e-8","9.23e-9","-1.54","-","61.77","1e-8","0","bin129.log"
"Jan 28 2011","2455589.999988426","317908801","82.39","4.91e-8","1.43e-8","-1.54","-","69.07","1e-8","0","bin130.log"
"Feb 04 2011","2455596.999988426","318513601","55.73","5.28e-8","1.57e-8","-1.54","-","76.33","1e-8","0","bin131.log"
"Feb 11 2011","2455603.999988426","319118401","58.87","5.29e-8","1.51e-8","-1.54","-","83.52","1e-8","0","bin132.log"
"Feb 18 2011","2455610.999988426","319723201","56.48","4.90e-8","1.43e-8","-1.54","-","90.62","1e-8","0","bin133.log"
"Feb 25 2011","2455617.999988426","320328001","31.62","3.13e-8","1.20e-8","-1.54","-","97.63","1e-8","0","bin134.log"
"Mar 04 2011","2455624.999988426","320932801","44.96","4.60e-8","1.34e-8","-1.54","-","104.53","1e-8","0","bin135.log"
"Mar 11 2011","2455631.999988426","321537601","33.6","3.94e-8","1.43e-8","-1.54","-","111.34","1e-8","0","bin136.log"
"Mar 18 2011","2455638.999988426","322142401","54.44","4.08e-8","1.35e-8","-1.54","-","118.06","1e-8","0","bin137.log"
"Mar 25 2011","2455645.999988426","322747201","115.01","5.88e-8","1.48e-8","-1.54","-","124.71","1e-8","0","bin138.log"
"Apr 01 2011","2455652.999988426","323352001","75.54","4.37e-8","1.25e-8","-1.54","-","131.30","1e-8","0","bin139.log"
"Apr 08 2011","2455659.999988426","323956801","34.5","2.82e-8","1.13e-8","-1.54","-","137.86","1e-8","0","bin140.log"
"Apr 15 2011","2455666.999988426","324561601","22.81","1.67e-8","1.12e-8","-1.54","-","144.39","1e-8","0","bin141.log"
"Apr 22 2011","2455673.999988426","325166401","56.63","4.61e-8","1.34e-8","-1.54","-","150.91","1e-8","0","bin142.log"
